Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Hasil_Segmentasi,Klaster_Probabilitas0,Klaster_Probabilitas1,Klaster_Probabilitas2,Klaster_Probabilitas3
0,1,-0.4727410192161339,1,-0.7864914002712937,0,-1.1609250611283035,0,0,1,0,0,0,0,0,0,D,0.0,0.0,0.0,1.0
1,1,-0.4129230322306227,1,1.830122786006979,1,0.786280770215034,0,0,0,0,0,1,0,0,0,C,0.0,0.0,1.0,0.0
0,1,1.5012525513057362,0,-0.7864914002712937,0,-1.1609250611283035,1,0,0,0,0,0,0,0,0,A,1.0,0.0,0.0,0.0
1,1,0.903072681450624,0,2.484276332576547,2,-0.5118564506805243,0,0,0,0,1,0,0,0,0,B,0.0,1.0,0.0,0.0
0,0,-1.489646797969825,0,-0.4594146269865096,0,0.786280770215034,0,0,0,0,0,0,0,0,1,C,0.0,0.0,1.0,0.0
1,1,0.1852568376244894,1,-0.7864914002712937,2,1.435349380662813,0,1,0,0,0,0,0,0,0,C,0.0,0.0,1.0,0.0
1,1,1.0227086554216465,1,0.8488924661526268,0,0.1372121597672548,0,1,0,0,0,0,0,0,0,D,0.0,0.0,0.0,1.0
0,1,0.1852568376244894,1,-0.4594146269865096,1,0.1372121597672548,1,0,0,0,0,0,0,0,0,A,1.0,0.0,0.0,0.0
1,1,0.364710798581023,1,-0.1323378537017255,1,0.786280770215034,1,0,0,0,0,0,0,0,0,A,1.0,0.0,0.0,0.0
1,0,-1.489646797969825,0,-0.7864914002712937,0,0.786280770215034,0,0,0,0,0,1,0,0,0,D,0.0,0.0,0.0,1.0
1,0,-1.310192837013291,0,-0.7864914002712937,0,0.1372121597672548,0,0,0,0,0,1,0,0,0,D,0.0,0.0,0.0,1.0
0,0,-1.310192837013291,0,-0.7864914002712937,0,2.084417991110592,0,0,0,0,0,1,0,0,0,D,0.0,0.0,0.0,1.0
1,1,0.364710798581023,1,-0.4594146269865096,1,1.435349380662813,1,0,0,0,0,0,0,0,0,A,1.0,0.0,0.0,0.0
1,0,-1.011102902085735,0,1.830122786006979,0,0.1372121597672548,0,0,0,0,0,1,0,0,0,D,0.0,0.0,0.0,1.0
